,ranking,title,artist,rank_week
0,1,Perfect,Ed Sheeran,2018-01-06
1,2,Rockstar,Post Malone Featuring 21 Savage,2018-01-06
2,3,Havana,Camila Cabello Featuring Young Thug,2018-01-06
3,4,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018-01-06
4,5,Thunder,Imagine Dragons,2018-01-06
5,6,Gucci Gang,Lil Pump,2018-01-06
6,7,MotorSport,"Migos, Nicki Minaj & Cardi B",2018-01-06
7,8,Too Good At Goodbyes,Sam Smith,2018-01-06
8,9,Bad At Love,Halsey,2018-01-06
9,10,Bodak Yellow (Money Moves),Cardi B,2018-01-06
10,11,Love.,Kendrick Lamar Featuring Zacari,2018-01-06
11,12,New Rules,Dua Lipa,2018-01-06
12,13,All I Want For Christmas Is You,Mariah Carey,2018-01-06
13,14,Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-06
14,15,Gummo,6ix9ine,2018-01-06
15,16,I Fall Apart,Post Malone,2018-01-06
16,17,Let You Down,NF,2018-01-06
17,18,Young Dumb & Broke,Khalid,2018-01-06
18,19,Shape Of You,Ed Sheeran,2018-01-06
19,20,Sorry Not Sorry,Demi Lovato,2018-01-06
20,21,What Lovers Do,Maroon 5 Featuring SZA,2018-01-06
21,22,I Get The Bag,Gucci Mane Featuring Migos,2018-01-06
22,23,Feel It Still,Portugal. The Man,2018-01-06
23,24,Him & I,G-Eazy & Halsey,2018-01-06
24,25,Believer,Imagine Dragons,2018-01-06
25,26,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-01-06
26,27,How Long,Charlie Puth,2018-01-06
27,28,Bank Account,21 Savage,2018-01-06
28,29,Wolves,Selena Gomez X Marshmello,2018-01-06
29,30,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2018-01-06
30,31,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-01-06
31,32,Mi Gente,J Balvin & Willy William Featuring Beyonce,2018-01-06
32,33,The Weekend,SZA,2018-01-06
33,34,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2018-01-06
34,35,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2018-01-06
35,36,Rockin' Around The Christmas Tree,Brenda Lee,2018-01-06
36,37,That's What I Like,Bruno Mars,2018-01-06
37,38,It's The Most Wonderful Time Of The Year,Andy Williams,2018-01-06
38,39,Attention,Charlie Puth,2018-01-06
39,40,End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-01-06
40,41,Sky Walker,Miguel Featuring Travis Scott,2018-01-06
41,42,The Christmas Song (Merry Christmas To You),Nat King Cole,2018-01-06
42,43,River,Eminem Featuring Ed Sheeran,2018-01-06
43,44,Silence,Marshmello Featuring Khalid,2018-01-06
44,45,Marry Me,Thomas Rhett,2018-01-06
45,46,A Holly Jolly Christmas,Burl Ives,2018-01-06
46,47,Unforgettable,French Montana Featuring Swae Lee,2018-01-06
47,48,What About Us,P!nk,2018-01-06
48,49,Lemon,N*E*R*D & Rihanna,2018-01-06
49,50,Candy Paint,Post Malone,2018-01-06
50,51,Roll In Peace,Kodak Black Featuring XXXTENTACION,2018-01-06
51,52,La Modelo,Ozuna x Cardi B,2018-01-06
52,53,Ric Flair Drip,Offset & Metro Boomin,2018-01-06
53,54,Lights Down Low,MAX Featuring gnash,2018-01-06
54,55,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2018-01-06
55,56,Like I Loved You,Brett Young,2018-01-06
56,57,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018-01-06
57,58,Greatest Love Story,LANCO,2018-01-06
58,59,Rubbin Off The Paint,YBN Nahmir,2018-01-06
59,60,Good Old Days,Macklemore Featuring Kesha,2018-01-06
60,61,...Ready For It?,Taylor Swift,2018-01-06
61,62,Yours,Russell Dickerson,2018-01-06
62,63,I'll Name The Dogs,Blake Shelton,2018-01-06
63,64,The Race,Tay-K,2018-01-06
64,65,Eye 2 Eye,Huncho Jack Featuring Takeoff,2018-01-06
65,66,Look What You Made Me Do,Taylor Swift,2018-01-06
66,67,Kooda,6ix9ine,2018-01-06
67,68,Modern Slavery,Huncho Jack,2018-01-06
68,69,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,2018-01-06
69,70,Codeine Dreaming,Kodak Black Featuring Lil Wayne,2018-01-06
70,71,Black & Chinese,Huncho Jack,2018-01-06
71,72,Round Here Buzz,Eric Church,2018-01-06
72,73,Light It Up,Luke Bryan,2018-01-06
73,74,Echame La Culpa,Luis Fonsi & Demi Lovato,2018-01-06
74,75,Betrayed,Lil Xan,2018-01-06
75,76,Losing Sleep,Chris Young,2018-01-06
76,77,No Smoke,YoungBoy Never Broke Again,2018-01-06
77,78,Tell Me You Love Me,Demi Lovato,2018-01-06
78,79,You Broke Up With Me,Walker Hayes,2018-01-06
79,80,Ice Tray,Quavo & Lil Yachty,2018-01-06
80,81,I Could Use A Love Song,Maren Morris,2018-01-06
81,82,MIC Drop,BTS Featuring Desiigner,2018-01-06
82,83,Dubai Shit,Huncho Jack Featuring Offset,2018-01-06
83,84,My Dawg,Lil Baby,2018-01-06
84,85,Pick It Up,Famous Dex Featuring A$AP Rocky,2018-01-06
85,86,Written In The Sand,Old Dominion,2018-01-06
86,87,Huncho Jack,Huncho Jack,2018-01-06
87,88,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",2018-01-06
88,89,Five More Minutes,Scotty McCreery,2018-01-06
89,90,Motorcycle Patches,Huncho Jack,2018-01-06
90,91,Mayores,Becky G Featuring Bad Bunny,2018-01-06
91,92,Saint,Huncho Jack,2018-01-06
92,93,Walk On Water,Eminem Featuring Beyonce,2018-01-06
93,94,Stir Fry,Migos,2018-01-06
94,95,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",2018-01-06
95,96,F**k Love,XXXTENTACION Featuring Trippie Redd,2018-01-06
96,97,Legends,Kelsea Ballerini,2018-01-06
97,98,Too Much To Ask,Niall Horan,2018-01-06
98,99,Dusk Till Dawn,Zayn Featuring Sia,2018-01-06
99,100,Juice,Yo Gotti,2018-01-06
100,1,Perfect,Ed Sheeran,2018-01-13
101,2,Havana,Camila Cabello Featuring Young Thug,2018-01-13
102,3,Rockstar,Post Malone Featuring 21 Savage,2018-01-13
103,4,Thunder,Imagine Dragons,2018-01-13
104,5,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018-01-13
105,6,Bad At Love,Halsey,2018-01-13
106,7,Too Good At Goodbyes,Sam Smith,2018-01-13
107,8,MotorSport,"Migos, Nicki Minaj & Cardi B",2018-01-13
108,9,Gucci Gang,Lil Pump,2018-01-13
109,10,Bodak Yellow (Money Moves),Cardi B,2018-01-13
110,11,New Rules,Dua Lipa,2018-01-13
111,12,Feel It Still,Portugal. The Man,2018-01-13
112,13,Shape Of You,Ed Sheeran,2018-01-13
113,14,Love.,Kendrick Lamar Featuring Zacari,2018-01-13
114,15,Sorry Not Sorry,Demi Lovato,2018-01-13
115,16,Believer,Imagine Dragons,2018-01-13
116,17,Him & I,G-Eazy & Halsey,2018-01-13
117,18,Let You Down,NF,2018-01-13
118,19,Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-13
119,20,Gummo,6ix9ine,2018-01-13
120,21,What Lovers Do,Maroon 5 Featuring SZA,2018-01-13
121,22,Young Dumb & Broke,Khalid,2018-01-13
122,23,I Fall Apart,Post Malone,2018-01-13
123,24,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-01-13
124,25,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2018-01-13
125,26,I Get The Bag,Gucci Mane Featuring Migos,2018-01-13
126,27,How Long,Charlie Puth,2018-01-13
127,28,Wolves,Selena Gomez X Marshmello,2018-01-13
128,29,Bank Account,21 Savage,2018-01-13
129,30,Mi Gente,J Balvin & Willy William Featuring Beyonce,2018-01-13
130,31,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-01-13
131,32,That's What I Like,Bruno Mars,2018-01-13
132,33,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2018-01-13
133,34,Attention,Charlie Puth,2018-01-13
134,35,Finesse,Bruno Mars & Cardi B,2018-01-13
135,36,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2018-01-13
136,37,The Weekend,SZA,2018-01-13
137,38,Sky Walker,Miguel Featuring Travis Scott,2018-01-13
138,39,End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-01-13
139,40,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2018-01-13
140,41,Silence,Marshmello Featuring Khalid,2018-01-13
141,42,Unforgettable,French Montana Featuring Swae Lee,2018-01-13
142,43,What About Us,P!nk,2018-01-13
143,44,Marry Me,Thomas Rhett,2018-01-13
144,45,River,Eminem Featuring Ed Sheeran,2018-01-13
145,46,Like I Loved You,Brett Young,2018-01-13
146,47,Roll In Peace,Kodak Black Featuring XXXTENTACION,2018-01-13
147,48,Lemon,N*E*R*D & Rihanna,2018-01-13
148,49,Ric Flair Drip,Offset & Metro Boomin,2018-01-13
149,50,Lights Down Low,MAX Featuring gnash,2018-01-13
150,51,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018-01-13
151,52,Yours,Russell Dickerson,2018-01-13
152,53,Greatest Love Story,LANCO,2018-01-13
153,54,Good Old Days,Macklemore Featuring Kesha,2018-01-13
154,55,Look What You Made Me Do,Taylor Swift,2018-01-13
155,56,I'll Name The Dogs,Blake Shelton,2018-01-13
156,57,Round Here Buzz,Eric Church,2018-01-13
157,58,...Ready For It?,Taylor Swift,2018-01-13
158,59,Candy Paint,Post Malone,2018-01-13
159,60,Rubbin Off The Paint,YBN Nahmir,2018-01-13
160,61,La Modelo,Ozuna x Cardi B,2018-01-13
161,62,I Could Use A Love Song,Maren Morris,2018-01-13
162,63,Losing Sleep,Chris Young,2018-01-13
163,64,Echame La Culpa,Luis Fonsi & Demi Lovato,2018-01-13
164,65,Codeine Dreaming,Kodak Black Featuring Lil Wayne,2018-01-13
165,66,MIC Drop,BTS Featuring Desiigner,2018-01-13
166,67,You Broke Up With Me,Walker Hayes,2018-01-13
167,68,Kooda,6ix9ine,2018-01-13
168,69,Light It Up,Luke Bryan,2018-01-13
169,70,Written In The Sand,Old Dominion,2018-01-13
170,71,Never Be The Same,Camila Cabello,2018-01-13
171,72,Tell Me You Love Me,Demi Lovato,2018-01-13
172,73,No Smoke,YoungBoy Never Broke Again,2018-01-13
173,74,Ice Tray,Quavo & Lil Yachty,2018-01-13
174,75,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",2018-01-13
175,76,Betrayed,Lil Xan,2018-01-13
176,77,Pick It Up,Famous Dex Featuring A$AP Rocky,2018-01-13
177,78,Five More Minutes,Scotty McCreery,2018-01-13
178,79,Legends,Kelsea Ballerini,2018-01-13
179,80,One Foot,WALK THE MOON,2018-01-13
180,81,Mayores,Becky G Featuring Bad Bunny,2018-01-13
181,82,Heaven,Kane Brown,2018-01-13
182,83,This Is Me,Keala Settle & The Greatest Showman Ensemble,2018-01-13
183,84,My Dawg,Lil Baby,2018-01-13
184,85,Rewrite The Stars,Zac Efron & Zendaya,2018-01-13
185,86,Too Much To Ask,Niall Horan,2018-01-13
186,87,All On Me,Devin Dawson,2018-01-13
187,88,Never Enough,Loren Allred,2018-01-13
188,89,Stir Fry,Migos,2018-01-13
189,90,Juice,Yo Gotti,2018-01-13
190,91,Broken Halos,Chris Stapleton,2018-01-13
191,92,Corazon,Maluma X Nego do Borel,2018-01-13
192,93,Female,Keith Urban,2018-01-13
193,94,Dusk Till Dawn,Zayn Featuring Sia,2018-01-13
194,95,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",2018-01-13
195,96,When We,Tank,2018-01-13
196,97,Wanted You,NAV Featuring Lil Uzi Vert,2018-01-13
197,98,F**k Love,XXXTENTACION Featuring Trippie Redd,2018-01-13
198,99,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",2018-01-13
199,100,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",2018-01-13
200,1,Perfect,Ed Sheeran,2018-01-20
201,2,Havana,Camila Cabello Featuring Young Thug,2018-01-20
202,3,Finesse,Bruno Mars & Cardi B,2018-01-20
203,4,Rockstar,Post Malone Featuring 21 Savage,2018-01-20
204,5,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018-01-20
205,6,Thunder,Imagine Dragons,2018-01-20
206,7,Bad At Love,Halsey,2018-01-20
207,8,Too Good At Goodbyes,Sam Smith,2018-01-20
208,9,Filthy,Justin Timberlake,2018-01-20
209,10,MotorSport,"Migos, Nicki Minaj & Cardi B",2018-01-20
210,11,New Rules,Dua Lipa,2018-01-20
211,12,Gucci Gang,Lil Pump,2018-01-20
212,13,Love.,Kendrick Lamar Featuring Zacari,2018-01-20
213,14,Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-20
214,15,Let You Down,NF,2018-01-20
215,16,Him & I,G-Eazy & Halsey,2018-01-20
216,17,Bodak Yellow (Money Moves),Cardi B,2018-01-20
217,18,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-01-20
218,19,Gummo,6ix9ine,2018-01-20
219,20,Feel It Still,Portugal. The Man,2018-01-20
220,21,Sorry Not Sorry,Demi Lovato,2018-01-20
221,22,Shape Of You,Ed Sheeran,2018-01-20
222,23,How Long,Charlie Puth,2018-01-20
223,24,Wolves,Selena Gomez X Marshmello,2018-01-20
224,25,I Get The Bag,Gucci Mane Featuring Migos,2018-01-20
225,26,I Fall Apart,Post Malone,2018-01-20
226,27,What Lovers Do,Maroon 5 Featuring SZA,2018-01-20
227,28,Young Dumb & Broke,Khalid,2018-01-20
228,29,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-01-20
229,30,Believer,Imagine Dragons,2018-01-20
230,31,Sky Walker,Miguel Featuring Travis Scott,2018-01-20
231,32,River,Eminem Featuring Ed Sheeran,2018-01-20
232,33,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2018-01-20
233,34,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2018-01-20
234,35,Mi Gente,J Balvin & Willy William Featuring Beyonce,2018-01-20
235,36,End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-01-20
236,37,Bank Account,21 Savage,2018-01-20
237,38,That's What I Like,Bruno Mars,2018-01-20
238,39,Marry Me,Thomas Rhett,2018-01-20
239,40,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2018-01-20
240,41,Attention,Charlie Puth,2018-01-20
241,42,The Weekend,SZA,2018-01-20
242,43,All The Stars,Kendrick Lamar & SZA,2018-01-20
243,44,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2018-01-20
244,45,Roll In Peace,Kodak Black Featuring XXXTENTACION,2018-01-20
245,46,Silence,Marshmello Featuring Khalid,2018-01-20
246,47,Lights Down Low,MAX Featuring gnash,2018-01-20
247,48,Ric Flair Drip,Offset & Metro Boomin,2018-01-20
248,49,Unforgettable,French Montana Featuring Swae Lee,2018-01-20
249,50,Lemon,N*E*R*D & Rihanna,2018-01-20
250,51,Like I Loved You,Brett Young,2018-01-20
251,52,Yours,Russell Dickerson,2018-01-20
252,53,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018-01-20
253,54,Good Old Days,Macklemore Featuring Kesha,2018-01-20
254,55,Tell Me You Love Me,Demi Lovato,2018-01-20
255,56,I Could Use A Love Song,Maren Morris,2018-01-20
256,57,Round Here Buzz,Eric Church,2018-01-20
257,58,Codeine Dreaming,Kodak Black Featuring Lil Wayne,2018-01-20
258,59,La Modelo,Ozuna x Cardi B,2018-01-20
259,60,Echame La Culpa,Luis Fonsi & Demi Lovato,2018-01-20
260,61,Greatest Love Story,LANCO,2018-01-20
261,62,Rubbin Off The Paint,YBN Nahmir,2018-01-20
262,63,Losing Sleep,Chris Young,2018-01-20
263,64,This Is Me,Keala Settle & The Greatest Showman Ensemble,2018-01-20
264,65,Never Be The Same,Camila Cabello,2018-01-20
265,66,I'll Name The Dogs,Blake Shelton,2018-01-20
266,67,Candy Paint,Post Malone,2018-01-20
267,68,You Broke Up With Me,Walker Hayes,2018-01-20
268,69,Written In The Sand,Old Dominion,2018-01-20
269,70,Heaven,Kane Brown,2018-01-20
270,71,Pick It Up,Famous Dex Featuring A$AP Rocky,2018-01-20
271,72,Stir Fry,Migos,2018-01-20
272,73,Kooda,6ix9ine,2018-01-20
273,74,MIC Drop,BTS Featuring Desiigner,2018-01-20
274,75,No Smoke,YoungBoy Never Broke Again,2018-01-20
275,76,Betrayed,Lil Xan,2018-01-20
276,77,Five More Minutes,Scotty McCreery,2018-01-20
277,78,Rewrite The Stars,Zac Efron & Zendaya,2018-01-20
278,79,Ice Tray,Quavo & Lil Yachty,2018-01-20
279,80,...Ready For It?,Taylor Swift,2018-01-20
280,81,All On Me,Devin Dawson,2018-01-20
281,82,For You (Fifty Shades Freed),Liam Payne & Rita Ora,2018-01-20
282,83,Legends,Kelsea Ballerini,2018-01-20
283,84,One Foot,WALK THE MOON,2018-01-20
284,85,Nowadays,Lil Skies Featuring Landon Cube,2018-01-20
285,86,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",2018-01-20
286,87,My Dawg,Lil Baby,2018-01-20
287,88,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",2018-01-20
288,89,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",2018-01-20
289,90,Corazon,Maluma X Nego do Borel,2018-01-20
290,91,Broken Halos,Chris Stapleton,2018-01-20
291,92,I Miss You,Clean Bandit Featuring Julia Michaels,2018-01-20
292,93,Too Much To Ask,Niall Horan,2018-01-20
293,94,Mayores,Becky G Featuring Bad Bunny,2018-01-20
294,95,Beautiful Trauma,P!nk,2018-01-20
295,96,Female,Keith Urban,2018-01-20
296,97,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",2018-01-20
297,98,Red Roses,Lil Skies Featuring Landon Cube,2018-01-20
298,99,Never Enough,Loren Allred,2018-01-20
299,100,Juice,Yo Gotti,2018-01-20
300,1,Havana,Camila Cabello Featuring Young Thug,2018-01-27
301,2,Perfect,Ed Sheeran,2018-01-27
302,3,Rockstar,Post Malone Featuring 21 Savage,2018-01-27
303,4,Finesse,Bruno Mars & Cardi B,2018-01-27
304,5,Bad At Love,Halsey,2018-01-27
305,6,Thunder,Imagine Dragons,2018-01-27
306,7,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018-01-27
307,8,New Rules,Dua Lipa,2018-01-27
308,9,Too Good At Goodbyes,Sam Smith,2018-01-27
309,10,MotorSport,"Migos, Nicki Minaj & Cardi B",2018-01-27
310,11,Gucci Gang,Lil Pump,2018-01-27
311,12,Love.,Kendrick Lamar Featuring Zacari,2018-01-27
312,13,Gummo,6ix9ine,2018-01-27
313,14,Let You Down,NF,2018-01-27
314,15,Him & I,G-Eazy & Halsey,2018-01-27
315,16,Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-27
316,17,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-01-27
317,18,End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-01-27
318,19,Bodak Yellow (Money Moves),Cardi B,2018-01-27
319,20,I Fall Apart,Post Malone,2018-01-27
320,21,Shape Of You,Ed Sheeran,2018-01-27
321,22,How Long,Charlie Puth,2018-01-27
322,23,Feel It Still,Portugal. The Man,2018-01-27
323,24,I Get The Bag,Gucci Mane Featuring Migos,2018-01-27
324,25,Wolves,Selena Gomez X Marshmello,2018-01-27
325,26,Believer,Imagine Dragons,2018-01-27
326,27,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-01-27
327,28,Sorry Not Sorry,Demi Lovato,2018-01-27
328,29,Filthy,Justin Timberlake,2018-01-27
329,30,Never Be The Same,Camila Cabello,2018-01-27
330,31,What Lovers Do,Maroon 5 Featuring SZA,2018-01-27
331,32,Young Dumb & Broke,Khalid,2018-01-27
332,33,Sky Walker,Miguel Featuring Travis Scott,2018-01-27
333,34,River,Eminem Featuring Ed Sheeran,2018-01-27
334,35,Marry Me,Thomas Rhett,2018-01-27
335,36,Roll In Peace,Kodak Black Featuring XXXTENTACION,2018-01-27
336,37,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2018-01-27
337,38,Bank Account,21 Savage,2018-01-27
338,39,Mi Gente,J Balvin & Willy William Featuring Beyonce,2018-01-27
339,40,Lemon,N*E*R*D & Rihanna,2018-01-27
340,41,Lights Down Low,MAX Featuring gnash,2018-01-27
341,42,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2018-01-27
342,43,Ric Flair Drip,Offset & Metro Boomin,2018-01-27
343,44,Attention,Charlie Puth,2018-01-27
344,45,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2018-01-27
345,46,The Weekend,SZA,2018-01-27
346,47,The Champion,Carrie Underwood Featuring Ludacris,2018-01-27
347,48,Unforgettable,French Montana Featuring Swae Lee,2018-01-27
348,49,Yours,Russell Dickerson,2018-01-27
349,50,Silence,Marshmello Featuring Khalid,2018-01-27
350,51,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018-01-27
351,52,Like I Loved You,Brett Young,2018-01-27
352,53,All The Stars,Kendrick Lamar & SZA,2018-01-27
353,54,Good Old Days,Macklemore Featuring Kesha,2018-01-27
354,55,Nowadays,Lil Skies Featuring Landon Cube,2018-01-27
355,56,Round Here Buzz,Eric Church,2018-01-27
356,57,Echame La Culpa,Luis Fonsi & Demi Lovato,2018-01-27
357,58,This Is Me,Keala Settle & The Greatest Showman Ensemble,2018-01-27
358,59,Written In The Sand,Old Dominion,2018-01-27
359,60,Stir Fry,Migos,2018-01-27
360,61,Losing Sleep,Chris Young,2018-01-27
361,62,Rubbin Off The Paint,YBN Nahmir,2018-01-27
362,63,Codeine Dreaming,Kodak Black Featuring Lil Wayne,2018-01-27
363,64,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-01-27
364,65,Greatest Love Story,LANCO,2018-01-27
365,66,Pick It Up,Famous Dex Featuring A$AP Rocky,2018-01-27
366,67,La Modelo,Ozuna x Cardi B,2018-01-27
367,68,You Broke Up With Me,Walker Hayes,2018-01-27
368,69,Red Roses,Lil Skies Featuring Landon Cube,2018-01-27
369,70,Rewrite The Stars,Zac Efron & Zendaya,2018-01-27
370,71,Outside Today,YoungBoy Never Broke Again,2018-01-27
371,72,Tell Me You Love Me,Demi Lovato,2018-01-27
372,73,Kooda,6ix9ine,2018-01-27
373,74,Candy Paint,Post Malone,2018-01-27
374,75,Betrayed,Lil Xan,2018-01-27
375,76,Heaven,Kane Brown,2018-01-27
376,77,One Foot,WALK THE MOON,2018-01-27
377,78,No Smoke,YoungBoy Never Broke Again,2018-01-27
378,79,MIC Drop,BTS Featuring Desiigner,2018-01-27
379,80,My My My!,Troye Sivan,2018-01-27
380,81,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",2018-01-27
381,82,I'll Name The Dogs,Blake Shelton,2018-01-27
382,83,Five More Minutes,Scotty McCreery,2018-01-27
383,84,Tequila,Dan + Shay,2018-01-27
384,85,Legends,Kelsea Ballerini,2018-01-27
385,86,Ice Tray,Quavo & Lil Yachty,2018-01-27
386,87,Corazon,Maluma X Nego do Borel,2018-01-27
387,88,All On Me,Devin Dawson,2018-01-27
388,89,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",2018-01-27
389,90,My Dawg,Lil Baby,2018-01-27
390,91,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-01-27
391,92,IDGAF,Dua Lipa,2018-01-27
392,93,Mayores,Becky G Featuring Bad Bunny,2018-01-27
393,94,Broken Halos,Chris Stapleton,2018-01-27
394,95,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",2018-01-27
395,96,...Ready For It?,Taylor Swift,2018-01-27
396,97,Never Enough,Loren Allred,2018-01-27
397,98,El Bano,Enrique Iglesias Featuring Bad Bunny,2018-01-27
398,99,Beautiful Trauma,P!nk,2018-01-27
399,100,Female,Keith Urban,2018-01-27
400,1,God's Plan,Drake,2018-02-03
401,2,Perfect,Ed Sheeran,2018-02-03
402,3,Havana,Camila Cabello Featuring Young Thug,2018-02-03
403,4,Rockstar,Post Malone Featuring 21 Savage,2018-02-03
404,5,Finesse,Bruno Mars & Cardi B,2018-02-03
405,6,Bad At Love,Halsey,2018-02-03
406,7,Diplomatic Immunity,Drake,2018-02-03
407,8,New Rules,Dua Lipa,2018-02-03
408,9,Thunder,Imagine Dragons,2018-02-03
409,10,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018-02-03
410,11,MotorSport,"Migos, Nicki Minaj & Cardi B",2018-02-03
411,12,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-02-03
412,13,Too Good At Goodbyes,Sam Smith,2018-02-03
413,14,Let You Down,NF,2018-02-03
414,15,Love.,Kendrick Lamar Featuring Zacari,2018-02-03
415,16,Him & I,G-Eazy & Halsey,2018-02-03
416,17,Gucci Gang,Lil Pump,2018-02-03
417,18,Gummo,6ix9ine,2018-02-03
418,19,I Fall Apart,Post Malone,2018-02-03
419,20,Bartier Cardi,Cardi B Featuring 21 Savage,2018-02-03
420,21,How Long,Charlie Puth,2018-02-03
421,22,Shape Of You,Ed Sheeran,2018-02-03
422,23,Bodak Yellow (Money Moves),Cardi B,2018-02-03
423,24,I Get The Bag,Gucci Mane Featuring Migos,2018-02-03
424,25,Feel It Still,Portugal. The Man,2018-02-03
425,26,Wolves,Selena Gomez X Marshmello,2018-02-03
426,27,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-02-03
427,28,Believer,Imagine Dragons,2018-02-03
428,29,Sky Walker,Miguel Featuring Travis Scott,2018-02-03
429,30,End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-02-03
430,31,Roll In Peace,Kodak Black Featuring XXXTENTACION,2018-02-03
431,32,Sorry Not Sorry,Demi Lovato,2018-02-03
432,33,Filthy,Justin Timberlake,2018-02-03
433,34,River,Eminem Featuring Ed Sheeran,2018-02-03
434,35,Young Dumb & Broke,Khalid,2018-02-03
435,36,Marry Me,Thomas Rhett,2018-02-03
436,37,Never Be The Same,Camila Cabello,2018-02-03
437,38,Lights Down Low,MAX Featuring gnash,2018-02-03
438,39,Ric Flair Drip,Offset & Metro Boomin,2018-02-03
439,40,Lemon,N*E*R*D & Rihanna,2018-02-03
440,41,What Lovers Do,Maroon 5 Featuring SZA,2018-02-03
441,42,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,2018-02-03
442,43,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-02-03
443,44,Mi Gente,J Balvin & Willy William Featuring Beyonce,2018-02-03
444,45,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,2018-02-03
445,46,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2018-02-03
446,47,Bank Account,21 Savage,2018-02-03
447,48,Attention,Charlie Puth,2018-02-03
448,49,Yours,Russell Dickerson,2018-02-03
449,50,Unforgettable,French Montana Featuring Swae Lee,2018-02-03
450,51,Outside Today,YoungBoy Never Broke Again,2018-02-03
451,52,Stir Fry,Migos,2018-02-03
